"postId","userId","parentId","subject","content","contentAsHtml","contentAsText","isComment","isAlias","userAlias","writer","limitGender","isLocked","hasPoll","commentCount","likeCount","dislikeCount","reportCount","readCount","boardId","groupId","createdAt","old_tag_id","old_group_id","ip","is_consultable","updated_at"
"19","2","14",,"댓글 하나가 길 경우를 테스트하기 위해~

입대전 학자금 대출을 받은 현역병의 학자금 융자 이자를 복무기간동안 면제해주는 제도가 도입된다. 취업후 학자금 상환 대출 이자는 금년부터 면제된다.

국방부는 4일 대통령 새해 업무보고에서 이 같은 내용의 현역병 학자금 대출이자 면제제도 도입 방안을 보고했다.

국방부는 현역병에 한해 복무기간 동안 학자금 대출 이자를 면제해주는 방안을 추진키로 하고 올해 우선 취업후 학자금 상환대출(ICL) 이자를 면제해주기로 했다.

이를 위해 현역병 중 취업후 학자금 상환대출을 받은 2만5700여명에 대한 이자(4.9%.대출액 1인당 1128만원)를 면제해주기 위해 예산 142억원을 확보했다. 국방부는 국회에 계류 중인 관련법이 통과되는 대로 이를 추진할 예정이다.

이와 함께 국방부는 일반 학자금 대출에 대해서도 복무기간동안 이자를 면제해주는 방안도 추진키로 했다. 학자금 대출은 취업후 학자금 상환대출과 일반학자금 대출로 구분된다.

현재 일반 학자금 대출은 군 복무 중 이자 납부를 면제해 주는 것이 아니라 유예하도록 규정돼 있다. 단순히 납부시기만 늦춰진 것으로 제대 후 다시 납부해야 한다. 취업 후 학자금 상환대출은 군 복무 기간에도 매달 이자가 부과돼 논란이 일기도 했다.

일반 학자금 대출을 받은 현역병은 6만6000여명에 이르는 것으로 추정되며, 평균적으로 복무 기간 중 부담해야 하는 이자는 1인당 200만원 안팎이다. 일반 학자금 대출 이자를 정부가 대납할 경우 연간 500억원 이상이 추가로 소요될 전망이다.

군 복무기간 동안 학자금 대출 이자가 완전 면제되면 병역의무 이행으로 인한 불이익이 해소되고 이자 부담도 대폭 줄어들 것으로 보인다.

국방부 관계자는 ""학자금 대출 이자 면제제도는 정부가 군 복무를 신성시하고 보상차원에서 고려한 것으로 군 가산점제의 대안 중 하나""라며 ""일반 학자금 대출은 기획재정부와 협의를 거쳐야하는 사안으로 지속적으로 추진할 예정""이라고 말했다.","댓글 하나가 길 경우를 테스트하기 위해~<br />
<br />
입대전 학자금 대출을 받은 현역병의 학자금 융자 이자를 복무기간동안 면제해주는 제도가 도입된다. 취업후 학자금 상환 대출 이자는 금년부터 면제된다.<br />
<br />
국방부는 4일 대통령 새해 업무보고에서 이 같은 내용의 현역병 학자금 대출이자 면제제도 도입 방안을 보고했다.<br />
<br />
국방부는 현역병에 한해 복무기간 동안 학자금 대출 이자를 면제해주는 방안을 추진키로 하고 올해 우선 취업후 학자금 상환대출(ICL) 이자를 면제해주기로 했다.<br />
<br />
이를 위해 현역병 중 취업후 학자금 상환대출을 받은 2만5700여명에 대한 이자(4.9%.대출액 1인당 1128만원)를 면제해주기 위해 예산 142억원을 확보했다. 국방부는 국회에 계류 중인 관련법이 통과되는 대로 이를 추진할 예정이다.<br />
<br />
이와 함께 국방부는 일반 학자금 대출에 대해서도 복무기간동안 이자를 면제해주는 방안도 추진키로 했다. 학자금 대출은 취업후 학자금 상환대출과 일반학자금 대출로 구분된다.<br />
<br />
현재 일반 학자금 대출은 군 복무 중 이자 납부를 면제해 주는 것이 아니라 유예하도록 규정돼 있다. 단순히 납부시기만 늦춰진 것으로 제대 후 다시 납부해야 한다. 취업 후 학자금 상환대출은 군 복무 기간에도 매달 이자가 부과돼 논란이 일기도 했다.<br />
<br />
일반 학자금 대출을 받은 현역병은 6만6000여명에 이르는 것으로 추정되며, 평균적으로 복무 기간 중 부담해야 하는 이자는 1인당 200만원 안팎이다. 일반 학자금 대출 이자를 정부가 대납할 경우 연간 500억원 이상이 추가로 소요될 전망이다.<br />
<br />
군 복무기간 동안 학자금 대출 이자가 완전 면제되면 병역의무 이행으로 인한 불이익이 해소되고 이자 부담도 대폭 줄어들 것으로 보인다.<br />
<br />
국방부 관계자는 ""학자금 대출 이자 면제제도는 정부가 군 복무를 신성시하고 보상차원에서 고려한 것으로 군 가산점제의 대안 중 하나""라며 ""일반 학자금 대출은 기획재정부와 협의를 거쳐야하는 사안으로 지속적으로 추진할 예정""이라고 말했다.","댓글 하나가 길 경우를 테스트하기 위해~ 입대전 학자금 대출을 받은 현역병의 학자금 융자 이자를 복무기간동안 면제해주는 제도가 도입된다. 취업후 학자금 상환 대출 이자는 금년부터 면제된다. 국방부는 4일 대통령 새해 업무보고에서 이 같은 내용의 현역병 학자금 대출이자 면제제도 도입 방안을 보고했다. 국방부는 현역병에 한해 복무기간 동안 학자금 대출 이자를 면제해주는 방안을 추진키로 하고 올해 우선 취업후 학자금 상환대출(ICL) 이자를 면제해주기로 했다. 이를 위해 현역병 중 취업후 학자금 상환대출을 받은 2만5700여명에 대한 이자(4.9%.대출액 1인당 1128만원)를 면제해주기 위해 예산 142억원을 확보했다. 국방부는 국회에 계류 중인 관련법이 통과되는 대로 이를 추진할 예정이다. 이와 함께 국방부는 일반 학자금 대출에 대해서도 복무기간동안 이자를 면제해주는 방안도 추진키로 했다. 학자금 대출은 취업후 학자금 상환대출과 일반학자금 대출로 구분된다. 현재 일반 학자금 대출은 군 복무 중 이자 납부를 면제해 주는 것이 아니라 유예하도록 규정돼 있다. 단순히 납부시기만 늦춰진 것으로 제대 후 다시 납부해야 한다. 취업 후 학자금 상환대출은 군 복무 기간에도 매달 이자가 부과돼 논란이 일기도 했다. 일반 학자금 대출을 받은 현역병은 6만6000여명에 이르는 것으로 추정되며, 평균적으로 복무 기간 중 부담해야 하는 이자는 1인당 200만원 안팎이다. 일반 학자금 대출 이자를 정부가 대납할 경우 연간 500억원 이상이 추가로 소요될 전망이다. 군 복무기간 동안 학자금 대출 이자가 완전 면제되면 병역의무 이행으로 인한 불이익이 해소되고 이자 부담도 대폭 줄어들 것으로 보인다. 국방부 관계자는 ""학자금 대출 이자 면제제도는 정부가 군 복무를 신성시하고 보상차원에서 고려한 것으로 군 가산점제의 대안 중 하나""라며 ""일반 학자금 대출은 기획재정부와 협의를 거쳐야하는 사안으로 지속적으로 추진할 예정""이라고 말했다.","1","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2012-01-04 13:33:14","1","1",,"0","2012-01-04 13:33:14"
"20","2",NULL,"2011년 10월 7일자 모의고사가 오픈되었습니다.","2011년 10월 7일자 모의고사가 오픈되었습니다.","2011년 10월 7일자 모의고사가 오픈되었습니다.","2011년 10월 7일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-07 09:00:00","1","1",,"0","2011-10-07 09:00:00"
"21","2",NULL,"2011년 10월 8일자 모의고사가 오픈되었습니다.","2011년 10월 8일자 모의고사가 오픈되었습니다.","2011년 10월 8일자 모의고사가 오픈되었습니다.","2011년 10월 8일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-08 09:00:00","1","1",,"0","2011-10-08 09:00:00"
"22","2",NULL,"2011년 10월 9일자 모의고사가 오픈되었습니다.","2011년 10월 9일자 모의고사가 오픈되었습니다.","2011년 10월 9일자 모의고사가 오픈되었습니다.","2011년 10월 9일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-09 09:00:00","1","1",,"0","2011-10-09 09:00:00"
"23","2",NULL,"2011년 10월 10일자 모의고사가 오픈되었습니다.","2011년 10월 10일자 모의고사가 오픈되었습니다.","2011년 10월 10일자 모의고사가 오픈되었습니다.","2011년 10월 10일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-10 09:00:00","1","1",,"0","2011-10-10 09:00:00"
"24","2",NULL,"2011년 10월 11일자 모의고사가 오픈되었습니다.","2011년 10월 11일자 모의고사가 오픈되었습니다.","2011년 10월 11일자 모의고사가 오픈되었습니다.","2011년 10월 11일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-11 09:00:00","1","1",,"0","2011-10-11 09:00:00"
"25","2",NULL,"2011년 10월 12일자 모의고사가 오픈되었습니다.","2011년 10월 12일자 모의고사가 오픈되었습니다.","2011년 10월 12일자 모의고사가 오픈되었습니다.","2011년 10월 12일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-12 09:00:00","1","1",,"0","2011-10-12 09:00:00"
"26","2",NULL,"2011년 10월 13일자 모의고사가 오픈되었습니다.","2011년 10월 13일자 모의고사가 오픈되었습니다.","2011년 10월 13일자 모의고사가 오픈되었습니다.","2011년 10월 13일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-13 09:00:00","1","1",,"0","2011-10-13 09:00:00"
"27","2",NULL,"2011년 10월 14일자 모의고사가 오픈되었습니다.","2011년 10월 14일자 모의고사가 오픈되었습니다.","2011년 10월 14일자 모의고사가 오픈되었습니다.","2011년 10월 14일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-14 09:00:00","1","1",,"0","2011-10-14 09:00:00"
"28","2",NULL,"2011년 10월 15일자 모의고사가 오픈되었습니다.","2011년 10월 15일자 모의고사가 오픈되었습니다.","2011년 10월 15일자 모의고사가 오픈되었습니다.","2011년 10월 15일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-15 09:00:00","1","1",,"0","2011-10-15 09:00:00"
"29","2",NULL,"2011년 10월 16일자 모의고사가 오픈되었습니다.","2011년 10월 16일자 모의고사가 오픈되었습니다.","2011년 10월 16일자 모의고사가 오픈되었습니다.","2011년 10월 16일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-16 09:00:00","1","1",,"0","2011-10-16 09:00:00"
"30","2",NULL,"2011년 10월 17일자 모의고사가 오픈되었습니다.","2011년 10월 17일자 모의고사가 오픈되었습니다.","2011년 10월 17일자 모의고사가 오픈되었습니다.","2011년 10월 17일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-17 09:00:00","1","1",,"0","2011-10-17 09:00:00"
"31","2",NULL,"2011년 10월 18일자 모의고사가 오픈되었습니다.","2011년 10월 18일자 모의고사가 오픈되었습니다.","2011년 10월 18일자 모의고사가 오픈되었습니다.","2011년 10월 18일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-18 09:00:00","1","1",,"0","2011-10-18 09:00:00"
"32","2",NULL,"2011년 10월 19일자 모의고사가 오픈되었습니다.","2011년 10월 19일자 모의고사가 오픈되었습니다.","2011년 10월 19일자 모의고사가 오픈되었습니다.","2011년 10월 19일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-19 09:00:00","1","1",,"0","2011-10-19 09:00:00"
"33","2",NULL,"2011년 10월 20일자 모의고사가 오픈되었습니다.","2011년 10월 20일자 모의고사가 오픈되었습니다.","2011년 10월 20일자 모의고사가 오픈되었습니다.","2011년 10월 20일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-20 09:00:00","1","1",,"0","2011-10-20 09:00:00"
"34","2",NULL,"2011년 10월 21일자 모의고사가 오픈되었습니다.","2011년 10월 21일자 모의고사가 오픈되었습니다.","2011년 10월 21일자 모의고사가 오픈되었습니다.","2011년 10월 21일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-21 09:00:00","1","1",,"0","2011-10-21 09:00:00"
"35","2",NULL,"2011년 10월 22일자 모의고사가 오픈되었습니다.","2011년 10월 22일자 모의고사가 오픈되었습니다.","2011년 10월 22일자 모의고사가 오픈되었습니다.","2011년 10월 22일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-22 09:00:00","1","1",,"0","2011-10-22 09:00:00"
"36","2",NULL,"2011년 10월 23일자 모의고사가 오픈되었습니다.","2011년 10월 24일자 모의고사가 오픈되었습니다.","2011년 10월 24일자 모의고사가 오픈되었습니다.","2011년 10월 24일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-24 09:00:00","1","1",,"0","2011-10-24 09:00:00"
"37","2",NULL,"2011년 10월 25일자 모의고사가 오픈되었습니다.","2011년 10월 25일자 모의고사가 오픈되었습니다.","2011년 10월 25일자 모의고사가 오픈되었습니다.","2011년 10월 25일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-25 09:00:00","1","1",,"0","2011-10-25 09:00:00"
"38","2",NULL,"2011년 10월 26일자 모의고사가 오픈되었습니다.","2011년 10월 26일자 모의고사가 오픈되었습니다.","2011년 10월 26일자 모의고사가 오픈되었습니다.","2011년 10월 26일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-26 09:00:00","1","1",,"0","2011-10-26 09:00:00"
"39","2",NULL,"2011년 10월 27일자 모의고사가 오픈되었습니다.","2011년 10월 27일자 모의고사가 오픈되었습니다.","2011년 10월 27일자 모의고사가 오픈되었습니다.","2011년 10월 27일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-27 09:00:00","1","1",,"0","2011-10-27 09:00:00"
"40","2",NULL,"2011년 10월 28일자 모의고사가 오픈되었습니다.","2011년 10월 28일자 모의고사가 오픈되었습니다.","2011년 10월 28일자 모의고사가 오픈되었습니다.","2011년 10월 28일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-28 09:00:00","1","1",,"0","2011-10-28 09:00:00"
"41","2",NULL,"2011년 10월 31일자 모의고사가 오픈되었습니다.","2011년 10월 31일자 모의고사가 오픈되었습니다.","2011년 10월 31일자 모의고사가 오픈되었습니다.","2011년 10월 31일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-10-31 09:00:00","1","1",,"0","2011-10-31 09:00:00"
"42","2",NULL,"2011년 11월 1일자 모의고사가 오픈되었습니다.","2011년 11월 1일자 모의고사가 오픈되었습니다.","2011년 11월 1일자 모의고사가 오픈되었습니다.","2011년 11월 1일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-11-01 09:00:00","1","1",,"0","2011-11-01 09:00:00"
"43","2",NULL,"2011년 11월 2일자 모의고사가 오픈되었습니다.","2011년 11월 2일자 모의고사가 오픈되었습니다.","2011년 11월 2일자 모의고사가 오픈되었습니다.","2011년 11월 2일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-11-02 09:00:00","1","1",,"0","2011-11-02 09:00:00"
"44","2",NULL,"2011년 11월 3일자 모의고사가 오픈되었습니다.","2011년 11월 3일자 모의고사가 오픈되었습니다.","2011년 11월 3일자 모의고사가 오픈되었습니다.","2011년 11월 3일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-11-03 09:00:00","1","1",,"0","2011-11-03 09:00:00"
"45","2",NULL,"2011년 11월 7일자 모의고사가 오픈되었습니다.","2011년 11월 7일자 모의고사가 오픈되었습니다.","2011년 11월 7일자 모의고사가 오픈되었습니다.","2011년 11월 7일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-11-07 09:00:00","1","1",,"0","2011-11-07 09:00:00"
"46","2",NULL,"2011년 11월 8일자 모의고사가 오픈되었습니다.","2011년 11월 8일자 모의고사가 오픈되었습니다.","2011년 11월 8일자 모의고사가 오픈되었습니다.","2011년 11월 8일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-11-08 09:00:00","1","1",,"0","2011-11-08 09:00:00"
"47","2",NULL,"2011년 11월 9일자 모의고사가 오픈되었습니다.","2011년 11월 9일자 모의고사가 오픈되었습니다.","2011년 11월 9일자 모의고사가 오픈되었습니다.","2011년 11월 9일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-11-09 09:00:00","1","1",,"0","2011-11-09 09:00:00"
"48","2",NULL,"2011년 11월 10일자 모의고사가 오픈되었습니다.","2011년 11월 10일자 모의고사가 오픈되었습니다.","2011년 11월 10일자 모의고사가 오픈되었습니다.","2011년 11월 10일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-11-10 09:00:00","1","1",,"0","2011-11-10 09:00:00"
"49","2",NULL,"2011년 11월 11일자 모의고사가 오픈되었습니다.","2011년 11월 11일자 모의고사가 오픈되었습니다.","2011년 11월 11일자 모의고사가 오픈되었습니다.","2011년 11월 11일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-11-11 09:00:00","1","1",,"0","2011-11-11 09:00:00"
"50","2",NULL,"2011년 11월 14일자 모의고사가 오픈되었습니다.","2011년 11월 14일자 모의고사가 오픈되었습니다.","2011년 11월 14일자 모의고사가 오픈되었습니다.","2011년 11월 14일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-11-14 09:00:00","1","1",,"0","2011-11-14 09:00:00"
"51","2",NULL,"2011년 11월 15일자 모의고사가 오픈되었습니다.","2011년 11월 15일자 모의고사가 오픈되었습니다.","2011년 11월 15일자 모의고사가 오픈되었습니다.","2011년 11월 15일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-11-15 09:00:00","1","1",,"0","2011-11-15 09:00:00"
"52","2",NULL,"2011년 11월 16일자 모의고사가 오픈되었습니다.","2011년 11월 16일자 모의고사가 오픈되었습니다.","2011년 11월 16일자 모의고사가 오픈되었습니다.","2011년 11월 16일자 모의고사가 오픈되었습니다.","0","0",,NULL,,"0",NULL,"0","0","0",NULL,"0","1","1","2011-11-16 09:00:00","1","1",,"0","2011-11-16 09:00:00"
